9.300000000000000711e+00 1.171925106590871568e+00
2.389999999999999858e+01 1.235160608282824590e+00
3.850000000000000000e+01 1.260384468856705187e+00
5.309999999999999432e+01 1.269739578530166613e+00
6.770000000000000284e+01 1.280328287406911070e+00
8.229999999999999716e+01 1.295970074025575069e+00
9.690000000000000568e+01 1.298284578171913228e+00
1.115000000000000000e+02 1.305495146842874377e+00
1.260999999999999943e+02 1.311725771085602510e+00
1.406999999999999886e+02 1.313924425964376974e+00
