9.400000000000000355e+00 1.196752616245730039e+00
2.420000000000000284e+01 1.247718396706802846e+00
3.900000000000000000e+01 1.269647844903757372e+00
5.380000000000000426e+01 1.278732453179336481e+00
6.859999999999999432e+01 1.285680887067399913e+00
8.340000000000000568e+01 1.291620758863853302e+00
9.820000000000001705e+01 1.298229925031770149e+00
1.130000000000000000e+02 1.297029771958143174e+00
1.278000000000000114e+02 1.299157421208668728e+00
1.426000000000000227e+02 1.306848055219171023e+00
