0.000000000000000000e+00 -1.766005690030671843e-02
1.111111111111111049e-01 1.391177402160104493e-01
2.222222222222222099e-01 2.958955373323276516e-01
3.333333333333333148e-01 4.526733344486448818e-01
4.444444444444444198e-01 6.094511315649620009e-01
5.555555555555555802e-01 7.662289286812793421e-01
6.666666666666666297e-01 9.230067257975964612e-01
7.777777777777776791e-01 1.079784522913913580e+00
8.888888888888888395e-01 1.236562320030230699e+00
1.000000000000000000e+00 1.393340117146548041e+00
