6.900000000000000355e+00 1.106012844728786249e+00
1.670000000000000284e+01 1.295460776069287334e+00
2.650000000000000000e+01 1.326226034042009783e+00
3.630000000000000426e+01 1.349517130900240280e+00
4.610000000000000142e+01 1.378215295785298888e+00
5.590000000000000568e+01 1.392373785336173952e+00
6.570000000000000284e+01 1.388755346990070638e+00
7.550000000000000000e+01 1.403785740271053850e+00
8.530000000000001137e+01 1.416383642140530030e+00
9.509999999999999432e+01 1.422660979588141084e+00
