6.900000000000000355e+00 1.225957184010314949e+00
1.670000000000000284e+01 1.362661220036373688e+00
2.650000000000000000e+01 1.377989542983365068e+00
3.630000000000000426e+01 1.394563585789021953e+00
4.610000000000000142e+01 1.408534293008562255e+00
5.590000000000000568e+01 1.420919764095170290e+00
6.570000000000000284e+01 1.417255572375371475e+00
7.550000000000000000e+01 1.429263208945989350e+00
8.530000000000001137e+01 1.437330562355864316e+00
9.509999999999999432e+01 1.441533756681100842e+00
