6.900000000000000355e+00 1.157839567871898012e+00
1.670000000000000284e+01 1.332580405255959111e+00
2.650000000000000000e+01 1.332549975986089930e+00
3.630000000000000426e+01 1.366902816585104485e+00
4.610000000000000142e+01 1.398609700466912020e+00
5.590000000000000568e+01 1.407905911042199865e+00
6.570000000000000284e+01 1.409004429095291666e+00
7.550000000000000000e+01 1.413729642005009834e+00
8.530000000000001137e+01 1.425949815017183209e+00
9.509999999999999432e+01 1.431941494617966715e+00
