1.213921071195838586e+00 4.898979485566353986e+00 3.464101615137753942e+00 3.840572873934304798e+00 3.809523809523809312e+00 6.972789115646260427e+01 7.091836734693877986e+01 9.917803794303425491e+01 2.400000000000000000e+01
1.024109371757477849e+00 3.464101615137757495e+00 2.645751311064591160e+00 2.999999999999998668e+00 1.200000000000000000e+01 6.464646464646463642e+01 7.222222222222221433e+01 8.868842167290593181e+01 1.200000000000000000e+01
1.333067682806718723e+00 4.408096694603393928e+00 2.572528202230802918e+00 3.568606305706537363e+00 4.259838998211090910e+00 5.155555555555555713e+01 5.085714285714286120e+01 7.393358770129056268e+01 9.000000000000000000e+01
1.374553855631162280e+00 3.287503659034452408e+00 1.906845802926448563e+00 2.795019558377368263e+00 2.453431372549019329e+00 6.533801020408165527e+01 7.091836734693877986e+01 8.891003460608848741e+01 3.200000000000000000e+01
1.464207651852099668e+00 4.271410380525042072e+00 2.519040826243140963e+00 3.787837203908467121e+00 1.982620320855615015e+00 6.352184400964887345e+01 6.483516483516483220e+01 9.178026693642020462e+01 8.200000000000000000e+01
1.291966109729043799e+00 3.651851665012083803e+00 2.331610465522335751e+00 2.934364643098553938e+00 4.713414634146340987e+00 5.821314102564103621e+01 5.364583333333332860e+01 8.207633380867073924e+01 5.200000000000000000e+01
1.491223791351282246e+00 3.767404466638948790e+00 1.829513140785562708e+00 3.291608694275559355e+00 7.215703971119133975e-01 5.348484848484847731e+01 5.240641711229945798e+01 7.325238004614287490e+01 6.000000000000000000e+01
1.371576747558259646e+00 3.005976717387371711e+00 1.548916124822580453e+00 2.932319336354965333e+00 2.032941069147965241e+00 5.558360558360558201e+01 5.521978021978021900e+01 7.990141914613406016e+01 7.400000000000000000e+01
1.337007807296098694e+00 5.099019513592788932e+00 3.316624790355398478e+00 3.668043818514910903e+00 1.666666666666666741e+00 6.309664694280078834e+01 6.487179487179487580e+01 8.543376968991518083e+01 2.600000000000000000e+01
1.720067877407219337e+00 3.902627371513785359e+00 2.004775057575571395e+00 3.783417009609021164e+00 1.544956140350877360e+00 6.422932330827066494e+01 6.789473684210526017e+01 9.193092936573717111e+01 5.600000000000000000e+01
