1.421822762683405239e+00 4.898979485566353986e+00 3.464101615137753942e+00 5.106528013483369044e+00 3.809523809523809312e+00 6.972789115646260427e+01 7.091836734693877986e+01 9.518244864589303234e+01 2.400000000000000000e+01
1.218039316311110953e+00 3.464101615137757495e+00 2.645751311064591160e+00 4.095589284841194555e+00 1.200000000000000000e+01 6.464646464646463642e+01 7.222222222222221433e+01 8.404186141532342447e+01 1.200000000000000000e+01
1.372514271293461929e+00 4.408096694603393928e+00 2.572528202230802918e+00 3.961617609891094904e+00 4.259838998211090910e+00 5.155555555555555713e+01 5.085714285714286120e+01 7.314714185216325859e+01 9.000000000000000000e+01
1.527559663234058007e+00 3.287503659034452408e+00 1.906845802926448563e+00 3.353417383237589977e+00 2.453431372549019329e+00 6.533801020408165527e+01 7.091836734693877986e+01 8.604617019981938597e+01 3.200000000000000000e+01
1.543174417593162540e+00 4.271410380525042072e+00 2.519040826243140963e+00 4.333933095328709406e+00 1.982620320855615015e+00 6.352184400964887345e+01 6.483516483516483220e+01 9.035820361177445648e+01 8.200000000000000000e+01
1.343818940003608020e+00 3.651851665012083803e+00 2.331610465522335751e+00 3.351516334145957288e+00 4.713414634146340987e+00 5.821314102564103621e+01 5.364583333333332860e+01 8.063266000876433282e+01 5.200000000000000000e+01
1.535721461023822121e+00 3.767404466638948790e+00 1.829513140785562708e+00 3.912266207639523152e+00 7.215703971119133975e-01 5.348484848484847731e+01 5.240641711229945798e+01 7.134402306455913845e+01 6.000000000000000000e+01
1.431723807735612253e+00 3.005976717387371711e+00 1.548916124822580453e+00 3.227184237316280235e+00 2.032941069147965241e+00 5.558360558360558201e+01 5.521978021978021900e+01 7.855494964134730651e+01 7.400000000000000000e+01
1.475929241774533995e+00 5.099019513592788932e+00 3.316624790355398478e+00 4.925865501959653336e+00 1.666666666666666741e+00 6.309664694280078834e+01 6.487179487179487580e+01 8.232239758279877151e+01 2.600000000000000000e+01
1.776440330521882327e+00 3.902627371513785359e+00 2.004775057575571395e+00 4.456511205263791631e+00 1.544956140350877360e+00 6.422932330827066494e+01 6.789473684210526017e+01 8.960084510511137523e+01 5.600000000000000000e+01
1.463528625009794304e+00 3.040775722561616323e+00 1.483170250247147104e+00 3.331738334117104738e+00 1.363193596526929730e+00 6.185290404040403445e+01 6.313131313131312083e+01 8.667681046524384669e+01 9.600000000000000000e+01
1.568513926430522787e+00 4.573050519273265557e+00 2.635357856304218149e+00 4.588968154842876679e+00 2.448755066589461293e+00 6.235632183908045789e+01 7.183908045977010204e+01 8.844834185973896012e+01 1.000000000000000000e+02
1.578960535694429401e+00 3.525175850184141702e+00 1.420779972816615944e+00 4.469995711619697332e+00 8.787878787878786735e-01 6.305067481538069529e+01 6.417112299465239289e+01 8.581232484980731101e+01 4.200000000000000000e+01
1.324100017142195496e+00 3.871258567902145398e+00 2.626650031735411783e+00 3.914145947079285648e+00 4.202647975077882236e+00 5.579931972789117367e+01 5.306122448979593287e+01 7.952833564647126252e+01 6.000000000000000000e+01
1.590776825545380246e+00 4.511359021331792007e+00 2.164988085380034288e+00 4.790287661293404220e+00 1.472969338353953717e+00 5.931866383881229865e+01 6.032608695652172059e+01 8.314544455994592909e+01 8.200000000000000000e+01
1.386076178257529046e+00 5.099019513592788932e+00 3.464101615137752166e+00 5.169512182899884678e+00 2.048780487804878092e+00 6.230769230769232081e+01 5.948717948717947479e+01 8.216097417807833381e+01 2.600000000000000000e+01
