3.076875486879865118e+00 1.239162946810214549e+00 3.185265543029653923e+00 7.110613302874707609e-01 5.478225478225479605e+01 6.850119671830830725e+01 7.800000000000000000e+01
4.207991828614630059e+00 2.550768072849309398e+00 3.766799564302600878e+00 7.591662852231496617e-01 5.670977011494252906e+01 7.214266850432244382e+01 8.000000000000000000e+01
4.000000000000004441e+00 2.645751311064584943e+00 3.316624790355399366e+00 8.309172829625370849e-01 6.483585858585858830e+01 7.834797300454000890e+01 1.600000000000000000e+01
4.201713271334677202e+00 2.566756088151251891e+00 3.808001458050827903e+00 7.232203850456111471e-01 6.328042328042326403e+01 8.255056023095600892e+01 7.000000000000000000e+01
3.559226703186957330e+00 1.141308697219414414e+00 3.714662048358329915e+00 8.307621288225065515e-01 5.832685832685835692e+01 7.004609069506452101e+01 3.900000000000000000e+01
4.406964587730054284e+00 2.894130407614734057e+00 3.733166229076290588e+00 7.749806821949152269e-01 5.875457875457877321e+01 7.472398534698442063e+01 9.100000000000000000e+01
4.795831523312722666e+00 3.162277660168376858e+00 4.195235392680606523e+00 9.461823264094390007e-01 5.915678524374177982e+01 7.346500296483772274e+01 2.300000000000000000e+01
3.160286115191435208e+00 1.631149899384471302e+00 3.047616898169275057e+00 7.651359410700383501e-01 5.628815628815629424e+01 7.086178887155924144e+01 9.100000000000000000e+01
4.240269255031418716e+00 2.571621411078175878e+00 3.613189955626360028e+00 7.925482432809095590e-01 5.371043465091624114e+01 6.742481941212476215e+01 7.100000000000000000e+01
4.090766093854389496e+00 2.663638800126128192e+00 3.572658867089661516e+00 8.766977922598104822e-01 5.049496981891348923e+01 6.367360665453985291e+01 7.100000000000000000e+01
4.069226422978728053e+00 2.251336838584437228e+00 3.821127067089770790e+00 7.069037533575263099e-01 5.736650824713449026e+01 7.348434323301262339e+01 7.300000000000000000e+01
3.156873059995309205e+00 1.268651611751490327e+00 3.546518860925032435e+00 7.634552026289737059e-01 6.295572916666667140e+01 7.732028879311403102e+01 3.200000000000000000e+01
5.744562646538034834e+00 4.358898943540670423e+00 4.394973205115614512e+00 8.860127759127702785e-01 5.676877470355730537e+01 7.104719732230806528e+01 3.300000000000000000e+01
3.810350885938881049e+00 2.178486932768749273e+00 3.509082377073253323e+00 6.701802668719235578e-01 6.346226415094339757e+01 8.105331633168853500e+01 5.300000000000000000e+01
3.046603479007058635e+00 1.507837806186592688e+00 3.089620679498365607e+00 8.914093004353217387e-01 6.984953703703705230e+01 8.550348169139577692e+01 2.700000000000000000e+01
3.917437508547000125e+00 2.186724147886556224e+00 3.096076184767433404e+00 8.575745346557406279e-01 5.860241761881107436e+01 7.211965162920544969e+01 6.100000000000000000e+01
5.291502622129184985e+00 3.741657386773939997e+00 4.200340122282615773e+00 8.548854872562865470e-01 6.753246753246753542e+01 8.600177790386148047e+01 2.800000000000000000e+01
4.043048801539074866e+00 2.615827648983456211e+00 3.574196049187651880e+00 7.081186773753456176e-01 6.499322595213004661e+01 8.314340603250214201e+01 7.300000000000000000e+01
