3.076875486879865118e+00 1.786460575687784269e+00 3.501062676560112497e+00 7.067606481354796744e-01 5.582750582750583135e+01 6.010101010101012520e+01 7.110177195955689911e+01 7.800000000000000000e+01
4.577933020110839912e+00 2.988149414500035128e+00 4.783632791165786102e+00 7.577630679257244539e-01 5.270531400966185487e+01 5.608695652173915391e+01 6.754552248153935068e+01 9.900000000000000000e+01
3.777940291229273662e+00 1.222816019877058569e+00 4.633498874882099550e+00 7.375101745639417450e-01 5.661111111111110716e+01 5.450000000000000000e+01 6.959777255769868987e+01 4.500000000000000000e+01
3.034710568764882765e+00 1.270478355158852546e+00 3.445597154545810614e+00 6.756397222987646778e-01 7.186028257456830204e+01 7.091836734693877986e+01 8.741961634281862814e+01 9.100000000000000000e+01
2.828427124746190735e+00 1.732050807568874973e+00 3.343034677290783740e+00 6.663688449774189948e-01 7.449494949494949481e+01 8.282828282828283761e+01 8.169400760959088359e+01 8.000000000000000000e+00
2.843527111557005771e+00 1.573996193214620032e+00 3.770012792116488765e+00 7.425372629511619582e-01 5.807291666666666430e+01 5.572916666666667140e+01 7.095486223169902473e+01 2.400000000000000000e+01
3.908461220582650775e+00 2.118686765243161130e+00 4.099235138996519368e+00 6.414701790778838397e-01 5.479249011857709206e+01 5.597826086956520442e+01 6.852674066618450865e+01 5.500000000000000000e+01
4.525020653995394326e+00 2.448437070386672687e+00 4.797029582645444989e+00 6.460517823499326573e-01 5.609028481368906682e+01 4.761904761904761330e+01 6.938286785809657431e+01 9.400000000000000000e+01
3.725873846512501419e+00 1.904850967662606642e+00 4.231254400186371001e+00 6.355320942528754902e-01 5.359177859177859204e+01 5.185185185185186185e+01 6.603284026057036726e+01 5.200000000000000000e+01
3.000000000000001332e+00 1.732050807568873418e+00 3.517221648577666837e+00 6.390495331841417048e-01 7.542087542087543284e+01 8.282828282828283761e+01 8.486551523451554147e+01 9.000000000000000000e+00
2.880793502376655546e+00 1.720500219450466606e+00 3.265830003170963725e+00 6.402333965456191711e-01 6.074074074074076179e+01 6.102564102564102910e+01 7.327952105735055000e+01 2.700000000000000000e+01
4.071780039407340901e+00 2.464776300479907700e+00 4.043297552634805392e+00 6.775686161545456665e-01 5.555633802816900868e+01 5.550000000000000000e+01 6.788570242641088726e+01 7.100000000000000000e+01
3.158411125398833619e+00 1.090688188931530522e+00 3.652444022591705863e+00 6.562247906646697659e-01 6.985714285714286120e+01 7.450000000000000000e+01 8.179738697128428271e+01 2.800000000000000000e+01
3.079896498117632220e+00 1.542375325154097476e+00 3.853250286453805629e+00 4.889522641959779259e-01 6.431502525252524549e+01 6.313131313131312083e+01 8.095018195278416329e+01 9.600000000000000000e+01
3.273131643662595458e+00 1.959153707780787013e+00 3.494962527935924879e+00 6.830801767803577063e-01 5.841403728001666451e+01 6.313131313131315636e+01 7.423704481789344811e+01 9.700000000000000000e+01
2.950084236416146144e+00 1.260244360778912442e+00 3.412754231654861581e+00 7.629834189254457444e-01 4.709006256365488241e+01 4.425287356321837962e+01 5.804673099272244485e+01 7.900000000000000000e+01
4.106150692289463500e+00 2.293091607843352087e+00 4.836413594366236524e+00 6.842901111866243058e-01 5.468954248366013360e+01 5.777777777777777857e+01 6.924418192320968046e+01 6.800000000000000000e+01
2.782133168298092762e+00 1.104425375236794515e+00 3.659179674411508820e+00 7.317925959167296268e-01 6.711904761904762040e+01 5.950000000000000000e+01 7.856503969297017420e+01 2.100000000000000000e+01
3.084724761072747956e+00 1.358624124506245145e+00 3.681504863574909248e+00 5.367509914508679092e-01 6.461449942462601825e+01 6.616161616161616621e+01 8.014837650519646672e+01 7.900000000000000000e+01
4.037096957184169277e+00 1.950076321225672427e+00 4.880675137977110722e+00 5.364719175677687968e-01 6.776094276094278257e+01 7.171717171717173755e+01 8.422423734077972313e+01 6.600000000000000000e+01
5.385164807134508180e+00 3.999999999999998224e+00 6.032620401379876540e+00 7.777421320814348338e-01 5.940521802590769340e+01 5.661375661375662105e+01 7.433350812473062774e+01 2.900000000000000000e+01
2.821356455727768164e+00 1.635927272374539498e+00 2.911020370060225293e+00 6.397184332739409562e-01 6.154264972776768872e+01 6.789473684210526017e+01 7.564137305537238376e+01 5.800000000000000000e+01
4.456878576590693974e+00 2.268521949540456717e+00 5.434883591248368617e+00 4.921008759380445241e-01 5.959821428571427759e+01 5.989583333333332860e+01 7.517603439348927452e+01 9.800000000000000000e+01
3.630249556534073552e+00 1.668543287618453608e+00 4.750551128288633684e+00 6.801594069465601855e-01 5.581339712918659046e+01 5.210526315789473983e+01 6.823045931472766767e+01 4.400000000000000000e+01
