3.872983346207419242e+00 3.162277660168378635e+00 3.016620625799670385e+00 9.479221529357109155e-01 6.281250000000000000e+01 5.781250000000001421e+01 5.867594486641985441e+01 1.500000000000000000e+01
3.625322935035461214e+00 2.180005577358278934e+00 3.165117327408387915e+00 7.983038604382927117e-01 5.942073799216656482e+01 6.313131313131312083e+01 5.409697640112190697e+01 4.900000000000000000e+01
4.411851582320769793e+00 2.513341709956842696e+00 4.106808255194572155e+00 6.842412971638218711e-01 6.422758977008525960e+01 7.091836734693877986e+01 5.804803302631936646e+01 7.900000000000000000e+01
3.736603807170197467e+00 1.787672150697831031e+00 3.590036886636084557e+00 6.436181238466469612e-01 6.290238020341826797e+01 6.417112299465239289e+01 5.581550525626145287e+01 5.100000000000000000e+01
3.076116045430151935e+00 1.584496522704733401e+00 3.261620703587984504e+00 8.482510981457825894e-01 5.874130297280203905e+01 6.075268817204298699e+01 5.458315066668339455e+01 8.500000000000000000e+01
3.858615680515706359e+00 1.999217373301868550e+00 3.431718347680736247e+00 8.314104575901180016e-01 4.825862068965517437e+01 3.950000000000000000e+01 4.312154037258002148e+01 5.800000000000000000e+01
3.256340116349406344e+00 1.482146955967095447e+00 3.188271307426861600e+00 5.622082831265317049e-01 7.075594656239816516e+01 7.222222222222221433e+01 6.156558150938990082e+01 3.100000000000000000e+01
3.085531115809013070e+00 1.545999895650768341e+00 3.020477158412297580e+00 7.903536824081420775e-01 6.337054758107389318e+01 6.313131313131312083e+01 5.625120901964052678e+01 9.500000000000000000e+01
3.690531169279215984e+00 2.074882723738733947e+00 3.471056029961621103e+00 8.025116235157315758e-01 5.046805046805045691e+01 5.502645502645501097e+01 4.736625346677411841e+01 5.200000000000000000e+01
3.417799053342156057e+00 1.581335483926445962e+00 3.024593455491499494e+00 5.421621933985218966e-01 6.477317554240630670e+01 6.871794871794871540e+01 5.690519741242135154e+01 3.900000000000000000e+01
3.156873059995309205e+00 1.146469966920660388e+00 3.403072414340106988e+00 9.998082447310687737e-01 5.046052631578947967e+01 4.157894736842106198e+01 4.497076060628690897e+01 3.200000000000000000e+01
3.510133849839385700e+00 1.631149899384473523e+00 3.400384745012092758e+00 7.921159450035673011e-01 6.212121212121213176e+01 6.616161616161616621e+01 5.623641095190268402e+01 4.400000000000000000e+01
3.111497628292656970e+00 1.660381722829973539e+00 2.896074768331450944e+00 6.251780053665992876e-01 5.558381782945735949e+01 5.364583333333332860e+01 5.015941826695974726e+01 8.600000000000000000e+01
3.148843346255067122e+00 1.267076605229716879e+00 3.309662020838568086e+00 9.534386902704816702e-01 5.004734848484849152e+01 4.322916666666667140e+01 4.297991597226883442e+01 3.300000000000000000e+01
3.046601267807088842e+00 1.833244595323423987e+00 2.788899972856023979e+00 7.331302607517685699e-01 5.772464859437752693e+01 5.885416666666667140e+01 5.273690701452519392e+01 8.300000000000000000e+01
4.165518975969641602e+00 2.672428403620997983e+00 3.794348026906679827e+00 7.953097430055190431e-01 6.444515306122448806e+01 7.270408163265307167e+01 6.003966201323820684e+01 6.400000000000000000e+01
4.228177557151115984e+00 2.710216452155034705e+00 3.883967482765735113e+00 8.614578149148319763e-01 5.092857142857143060e+01 5.450000000000000000e+01 4.987445951114787590e+01 7.700000000000000000e+01
3.617071171986553590e+00 1.354384706630747726e+00 3.707196308941914431e+00 8.337110322684193608e-01 6.115384615384614619e+01 6.615384615384614619e+01 5.412247516783299517e+01 4.400000000000000000e+01
3.371075089615953146e+00 1.986064809627988703e+00 2.848360824334595254e+00 7.037175902487005086e-01 6.563770325203253719e+01 7.447916666666667140e+01 5.978116896890228560e+01 4.100000000000000000e+01
3.000000000000001332e+00 2.449489742783174329e+00 2.549509756796391802e+00 9.526807023806570518e-01 7.172222222222221433e+01 7.450000000000000000e+01 6.738549996331286707e+01 9.000000000000000000e+00
4.242640687119288323e+00 3.162277660168375082e+00 3.146426544510454448e+00 9.006802434992783324e-01 6.290509259259259522e+01 6.197916666666667851e+01 5.760922844441716251e+01 1.800000000000000000e+01
3.436552884239296723e+00 1.838489840086627192e+00 3.299081732045480386e+00 9.874708222317944983e-01 5.415917843388960051e+01 5.210526315789473983e+01 4.906482904664875377e+01 4.100000000000000000e+01
4.431816546389329758e+00 2.430459264231496608e+00 3.569343630354214092e+00 7.469467677019654417e-01 5.775720164609052887e+01 5.944444444444444997e+01 5.337016265193076947e+01 8.100000000000000000e+01
4.531934493167361744e+00 2.721736412981140329e+00 3.657397422113267904e+00 7.283253047191403651e-01 5.553799392097264587e+01 5.371428571428571530e+01 5.288531132048724714e+01 9.400000000000000000e+01
3.054460895057750314e+00 1.748223175579021182e+00 2.579931819169419605e+00 7.592860893815773782e-01 5.581781914893618080e+01 5.781249999999999289e+01 5.053054921867097704e+01 9.400000000000000000e+01
3.577867644033628114e+00 1.843843667491233074e+00 3.165707347978738984e+00 7.755054713276958722e-01 5.536842105263158231e+01 5.473684210526315752e+01 4.934082179842852156e+01 5.000000000000000000e+01
