0.000000000000000000e+00 1.546770795595950043e-01
1.111111111111111049e-01 2.794031139829353805e-01
2.222222222222222099e-01 4.041291484062757289e-01
3.333333333333333148e-01 5.288551828296160773e-01
4.444444444444444198e-01 6.535812172529564812e-01
5.555555555555555802e-01 7.783072516762968851e-01
6.666666666666666297e-01 9.030332860996371780e-01
7.777777777777776791e-01 1.027759320522977582e+00
8.888888888888888395e-01 1.152485354946317875e+00
1.000000000000000000e+00 1.277211389369658390e+00
