1.034999999999999964e+01 9.057300150691860452e-01
2.504999999999999716e+01 9.043024472517210421e-01
3.975000000000000000e+01 9.025039394807996551e-01
5.444999999999999574e+01 9.088805345425058357e-01
6.915000000000000568e+01 9.058946666186381558e-01
8.384999999999999432e+01 9.165909972282897389e-01
9.854999999999998295e+01 9.102418170383200779e-01
1.132500000000000000e+02 9.176920746768590931e-01
1.279499999999999886e+02 9.210305096674792358e-01
1.426499999999999773e+02 9.204788436921688133e-01
