1.225000000000000000e+01 1.155721471632071617e+00
2.675000000000000000e+01 1.204613721202272725e+00
4.125000000000000000e+01 1.227593668348081035e+00
5.575000000000000000e+01 1.240275535307264976e+00
7.025000000000000000e+01 1.248974254931930705e+00
8.475000000000000000e+01 1.253362060084874274e+00
9.925000000000000000e+01 1.256869442404935366e+00
1.137500000000000000e+02 1.256723313396724606e+00
1.282500000000000000e+02 1.240762590324878012e+00
1.427500000000000000e+02 1.256103575924387483e+00
