0.000000000000000000e+00 2.490055689841658149e-01
1.000000000000000000e+00 2.524643974482984055e-01
2.000000000000000000e+00 3.556869402210376396e-01
3.000000000000000000e+00 2.979972635689381866e-01
4.000000000000000000e+00 9.289330469836960535e-01
5.000000000000000000e+00 9.549669955071026228e-01
6.000000000000000000e+00 9.550826806102176159e-01
7.000000000000000000e+00 9.639242402299694756e-01
8.000000000000000000e+00 9.984199379390891194e-01
9.000000000000000000e+00 9.991816847476907570e-01
1.000000000000000000e+01 5.789620449120196355e-01
1.100000000000000000e+01 4.978350870782920490e-01
1.200000000000000000e+01 2.508646553265764800e-01
