1.055235496954177705e+02 6.324555320336762598e+00 4.213673869708010500e+00 5.092010548749033028e+00 2.391304347826086918e+00 2.200000000000000000e+01 1.127848101265822756e+01 1.212500000000000000e+01 1.152445331954508703e+02 6.597205658223364821e+01 7.383931492013230979e+01 8.000000000000000000e+00 3.590909090909090828e+00 1.500585260054388081e+00 4.000000000000000000e+01
9.830454941501837141e+01 3.375437903527040984e+00 2.096770751969963431e+00 3.004506842820277246e+00 2.949999999999999734e+00 2.000000000000000000e+01 1.234177215189873422e+01 1.317500000000000071e+01 1.044680143190728359e+02 6.186708789828132637e+01 6.833992284945277618e+01 8.000000000000000000e+00 3.950000000000000178e+00 1.285940424981127261e+00 4.000000000000000000e+01
9.833878823153958137e+01 3.375437903527040984e+00 2.228106472989488385e+00 3.261338724138343803e+00 1.339682539682539586e+00 1.300000000000000000e+01 8.721518987341772444e+00 9.599999999999999645e+00 1.074807996846333964e+02 6.146214112871435020e+01 7.002953200489010044e+01 1.400000000000000000e+01 6.076923076923076650e+00 1.490529660208728124e+00 4.000000000000000000e+01
8.345062394102389192e+01 3.375437903527040984e+00 1.572787583446094484e+00 3.382316931753706513e+00 1.482204861111111160e+00 1.700000000000000000e+01 8.772151898734177777e+00 9.650000000000000355e+00 1.123187560906527835e+02 5.411148653092772776e+01 5.769807497408271502e+01 1.000000000000000000e+01 4.647058823529412130e+00 1.292726978990679454e+00 4.000000000000000000e+01
7.281784804728616223e+01 3.473953464439372585e+00 1.710551313070894919e+00 3.179914203394230032e+00 2.715789473684210531e+00 2.100000000000000000e+01 1.044303797468354489e+01 1.130000000000000071e+01 1.039046283521163048e+02 4.707192525425820406e+01 5.334762474083058237e+01 1.000000000000000000e+01 3.761904761904761862e+00 1.513836180735954384e+00 4.000000000000000000e+01
5.435728334836793607e+01 3.473953464439372585e+00 1.536347107819355351e+00 3.220859739137079902e+00 1.324561403508772051e+00 1.800000000000000000e+01 9.227848101265822223e+00 1.009999999999999964e+01 8.142013627962020905e+01 3.472243868759401408e+01 3.795021417194541158e+01 8.000000000000000000e+00 4.388888888888889284e+00 2.395220646964698830e+00 4.000000000000000000e+01
6.369266799111060351e+01 3.515112659837269060e+00 1.226966940213928492e+00 3.513547254175968249e+00 1.848739495798319421e+00 1.500000000000000000e+01 8.620253164556961778e+00 9.500000000000000000e+00 8.748570209553004418e+01 3.939287355268458413e+01 4.562242959446948021e+01 8.000000000000000000e+00 5.266666666666666607e+00 1.420778331664356076e+00 4.000000000000000000e+01
5.882695215302005209e+01 3.427873620019257661e+00 5.065330342468319369e-01 3.420812870835029607e+00 5.555555555555556246e+00 2.000000000000000000e+01 1.051898734177215111e+01 1.137500000000000000e+01 9.072171328416131075e+01 3.961362786871766417e+01 4.168007670593068070e+01 8.000000000000000000e+00 3.950000000000000178e+00 1.165392799486992814e+00 4.000000000000000000e+01
6.236208358765961179e+01 3.515112659837269060e+00 1.410538056895873638e+00 3.376672142177833180e+00 5.833333333333332593e-01 1.700000000000000000e+01 8.468354430379747555e+00 9.349999999999999645e+00 7.892804688463824903e+01 3.823450986613551095e+01 4.550694363475012238e+01 1.200000000000000000e+01 4.647058823529412130e+00 1.744593078813868381e+00 4.000000000000000000e+01
7.376128651446201445e+01 6.324555320336762598e+00 3.521080528699968237e+00 4.918078893226500270e+00 3.809523809523809312e+00 2.000000000000000000e+01 1.170886075949367111e+01 1.255000000000000071e+01 1.197158924631100234e+02 5.048421040262847725e+01 5.349394766334090434e+01 8.000000000000000000e+00 3.950000000000000178e+00 1.246553843786456728e+00 4.000000000000000000e+01
8.016412183515637935e+01 3.552343858581805236e+00 1.884700372841020544e+00 3.382327676172237840e+00 1.277192982456140546e+00 1.600000000000000000e+01 8.721518987341772444e+00 9.599999999999999645e+00 1.001666007330222072e+02 4.978102494919350107e+01 5.710573527165157515e+01 1.000000000000000000e+01 4.937500000000000000e+00 1.310630193234712415e+00 4.000000000000000000e+01
7.211186197505168138e+01 6.324555320336760822e+00 3.784095277795419765e+00 4.524443417183391603e+00 4.400000000000000355e+00 2.200000000000000000e+01 1.092405063291139200e+01 1.177500000000000036e+01 8.990710524854866037e+01 4.465912019572702008e+01 5.156811236840923840e+01 8.000000000000000000e+00 3.590909090909090828e+00 1.308775603224051398e+00 4.000000000000000000e+01
4.232781188770924530e+01 3.515112659837269060e+00 8.226721577175183375e-01 3.289374966778638498e+00 7.142857142857143016e-01 1.600000000000000000e+01 8.367088607594936889e+00 9.250000000000000000e+00 6.310959037729305265e+01 2.628598775466481285e+01 3.037249253947851457e+01 1.000000000000000000e+01 4.937500000000000000e+00 1.571842114916080169e+00 4.000000000000000000e+01
8.625310174937359875e+01 3.443857242552258668e+00 1.970925296730519083e+00 3.156075073278927334e+00 2.216761633428300016e+00 1.800000000000000000e+01 1.026582278481012622e+01 1.112500000000000000e+01 1.047608770814193662e+02 5.388341819542082334e+01 6.095911844698912319e+01 1.000000000000000000e+01 4.388888888888889284e+00 1.625807787149727179e+00 4.000000000000000000e+01
7.910840807731396751e+01 3.646778057984196852e+00 1.907399272407976909e+00 3.668619003933772937e+00 1.568627450980392135e+00 1.700000000000000000e+01 8.746835443037975111e+00 9.625000000000000000e+00 9.728946772239063989e+01 4.849642809877831695e+01 5.720428028946651722e+01 8.000000000000000000e+00 4.647058823529412130e+00 1.114952247658308249e+00 4.000000000000000000e+01
1.025920095607576883e+02 3.515112659837269060e+00 2.106432200592215143e+00 3.181665433777920882e+00 1.567226890756302504e+00 1.900000000000000000e+01 1.107594936708860800e+01 1.192500000000000071e+01 1.261857256279715358e+02 6.691539352543301789e+01 7.179912352517064278e+01 8.000000000000000000e+00 4.157894736842105310e+00 1.418073630290330067e+00 4.000000000000000000e+01
